time,scenario,region,tas_C_anomaly
2015-12-31 00:00:00,ssp126,Global,0.85617065
2016-12-31 00:00:00,ssp126,Global,0.852478
2017-12-31 00:00:00,ssp126,Global,1.071106
2018-12-31 00:00:00,ssp126,Global,0.8986206
2019-12-31 00:00:00,ssp126,Global,1.1045227
2020-12-31 00:00:00,ssp126,Global,1.1711731
2021-12-31 00:00:00,ssp126,Global,1.3545532
2022-12-31 00:00:00,ssp126,Global,1.2153931
2023-12-31 00:00:00,ssp126,Global,1.0989075
2024-12-31 00:00:00,ssp126,Global,1.1141052
2025-12-31 00:00:00,ssp126,Global,1.3879395
2026-12-31 00:00:00,ssp126,Global,1.3482056
2027-12-31 00:00:00,ssp126,Global,1.2609863
2028-12-31 00:00:00,ssp126,Global,1.2674866
2029-12-31 00:00:00,ssp126,Global,1.3764648
2030-12-31 00:00:00,ssp126,Global,1.2302246
2031-12-31 00:00:00,ssp126,Global,1.3781738
2032-12-31 00:00:00,ssp126,Global,1.3447266
2033-12-31 00:00:00,ssp126,Global,1.4551392
2034-12-31 00:00:00,ssp126,Global,1.5638428
2035-12-31 00:00:00,ssp126,Global,1.2635193
2036-12-31 00:00:00,ssp126,Global,1.2276001
2037-12-31 00:00:00,ssp126,Global,1.4270325
2038-12-31 00:00:00,ssp126,Global,1.3757935
2039-12-31 00:00:00,ssp126,Global,1.3605042
2040-12-31 00:00:00,ssp126,Global,1.4381714
2041-12-31 00:00:00,ssp126,Global,1.5184937
2042-12-31 00:00:00,ssp126,Global,1.51297
2043-12-31 00:00:00,ssp126,Global,1.5275879
2044-12-31 00:00:00,ssp126,Global,1.3252258
2045-12-31 00:00:00,ssp126,Global,1.4000854
2046-12-31 00:00:00,ssp126,Global,1.5419006
2047-12-31 00:00:00,ssp126,Global,1.4877319
2048-12-31 00:00:00,ssp126,Global,1.3427734
2049-12-31 00:00:00,ssp126,Global,1.5423889
2050-12-31 00:00:00,ssp126,Global,1.4980774
2051-12-31 00:00:00,ssp126,Global,1.4549866
2052-12-31 00:00:00,ssp126,Global,1.5207825
2053-12-31 00:00:00,ssp126,Global,1.4584045
2054-12-31 00:00:00,ssp126,Global,1.4790955
2055-12-31 00:00:00,ssp126,Global,1.6645508
2056-12-31 00:00:00,ssp126,Global,1.6750183
2057-12-31 00:00:00,ssp126,Global,1.5064697
2058-12-31 00:00:00,ssp126,Global,1.3640747
2059-12-31 00:00:00,ssp126,Global,1.3907166
2060-12-31 00:00:00,ssp126,Global,1.644165
2061-12-31 00:00:00,ssp126,Global,1.6698303
2062-12-31 00:00:00,ssp126,Global,1.519989
2063-12-31 00:00:00,ssp126,Global,1.4622192
2064-12-31 00:00:00,ssp126,Global,1.5569458
2065-12-31 00:00:00,ssp126,Global,1.6277466
2066-12-31 00:00:00,ssp126,Global,1.7252197
2067-12-31 00:00:00,ssp126,Global,1.5620728
2068-12-31 00:00:00,ssp126,Global,1.6855469
2069-12-31 00:00:00,ssp126,Global,1.6584473
2070-12-31 00:00:00,ssp126,Global,1.7409363
2071-12-31 00:00:00,ssp126,Global,1.6116028
2072-12-31 00:00:00,ssp126,Global,1.5376587
2073-12-31 00:00:00,ssp126,Global,1.4565125
2074-12-31 00:00:00,ssp126,Global,1.5354309
2075-12-31 00:00:00,ssp126,Global,1.4510803
2076-12-31 00:00:00,ssp126,Global,1.3161316
2077-12-31 00:00:00,ssp126,Global,1.5762024
2078-12-31 00:00:00,ssp126,Global,1.6678467
2079-12-31 00:00:00,ssp126,Global,1.6188965
2080-12-31 00:00:00,ssp126,Global,1.6644897
2081-12-31 00:00:00,ssp126,Global,1.4872742
2082-12-31 00:00:00,ssp126,Global,1.6924744
2083-12-31 00:00:00,ssp126,Global,1.555481
2084-12-31 00:00:00,ssp126,Global,1.4335938
2085-12-31 00:00:00,ssp126,Global,1.4656372
2086-12-31 00:00:00,ssp126,Global,1.6927185
2087-12-31 00:00:00,ssp126,Global,1.5456543
2088-12-31 00:00:00,ssp126,Global,1.7485046
2089-12-31 00:00:00,ssp126,Global,1.5922546
2090-12-31 00:00:00,ssp126,Global,1.6990051
2091-12-31 00:00:00,ssp126,Global,1.5310059
2092-12-31 00:00:00,ssp126,Global,1.6333618
2093-12-31 00:00:00,ssp126,Global,1.5374756
2094-12-31 00:00:00,ssp126,Global,1.6302185
2095-12-31 00:00:00,ssp126,Global,1.1762085
2096-12-31 00:00:00,ssp126,Global,1.3163452
2097-12-31 00:00:00,ssp126,Global,1.7189941
2098-12-31 00:00:00,ssp126,Global,1.4483643
2099-12-31 00:00:00,ssp126,Global,1.4897766
2100-12-31 00:00:00,ssp126,Global,1.4875488
2015-12-31 00:00:00,ssp126,North America,0.35266113
2016-12-31 00:00:00,ssp126,North America,0.9370117
2017-12-31 00:00:00,ssp126,North America,1.1665955
2018-12-31 00:00:00,ssp126,North America,0.4855957
2019-12-31 00:00:00,ssp126,North America,0.90805054
2020-12-31 00:00:00,ssp126,North America,0.93566895
2021-12-31 00:00:00,ssp126,North America,1.4350586
2022-12-31 00:00:00,ssp126,North America,1.1022949
2023-12-31 00:00:00,ssp126,North America,0.68963623
2024-12-31 00:00:00,ssp126,North America,0.9967346
2025-12-31 00:00:00,ssp126,North America,1.2988586
2026-12-31 00:00:00,ssp126,North America,1.2712097
2027-12-31 00:00:00,ssp126,North America,1.1852722
2028-12-31 00:00:00,ssp126,North America,1.4425659
2029-12-31 00:00:00,ssp126,North America,1.5140991
2030-12-31 00:00:00,ssp126,North America,1.6166077
2031-12-31 00:00:00,ssp126,North America,1.5074768
2032-12-31 00:00:00,ssp126,North America,1.3513794
2033-12-31 00:00:00,ssp126,North America,1.4161377
2034-12-31 00:00:00,ssp126,North America,1.7416992
2035-12-31 00:00:00,ssp126,North America,1.1803894
2036-12-31 00:00:00,ssp126,North America,1.2740479
2037-12-31 00:00:00,ssp126,North America,1.7429504
2038-12-31 00:00:00,ssp126,North America,1.8501587
2039-12-31 00:00:00,ssp126,North America,1.684967
2040-12-31 00:00:00,ssp126,North America,1.2216797
2041-12-31 00:00:00,ssp126,North America,1.7130737
2042-12-31 00:00:00,ssp126,North America,1.7717285
2043-12-31 00:00:00,ssp126,North America,1.8061523
2044-12-31 00:00:00,ssp126,North America,1.5098877
2045-12-31 00:00:00,ssp126,North America,1.8397522
2046-12-31 00:00:00,ssp126,North America,1.8522034
2047-12-31 00:00:00,ssp126,North America,1.6781311
2048-12-31 00:00:00,ssp126,North America,1.4989624
2049-12-31 00:00:00,ssp126,North America,1.8394775
2050-12-31 00:00:00,ssp126,North America,1.8124084
2051-12-31 00:00:00,ssp126,North America,1.6502686
2052-12-31 00:00:00,ssp126,North America,1.9787903
2053-12-31 00:00:00,ssp126,North America,1.7333374
2054-12-31 00:00:00,ssp126,North America,1.6721191
2055-12-31 00:00:00,ssp126,North America,1.5433044
2056-12-31 00:00:00,ssp126,North America,1.8245544
2057-12-31 00:00:00,ssp126,North America,1.7467041
2058-12-31 00:00:00,ssp126,North America,1.5899353
2059-12-31 00:00:00,ssp126,North America,1.5163879
2060-12-31 00:00:00,ssp126,North America,1.4647827
2061-12-31 00:00:00,ssp126,North America,1.9152222
2062-12-31 00:00:00,ssp126,North America,1.8383789
2063-12-31 00:00:00,ssp126,North America,1.7067261
2064-12-31 00:00:00,ssp126,North America,1.8639221
2065-12-31 00:00:00,ssp126,North America,1.6894836
